Company,ESG Data
AGHOL.E,"['AG Anadolu Grubu Holding AS', '34.7', 'High ESG Risk']"
AHGAZ.E,"['Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS', '45.6', 'Severe ESG Risk']"
AKBNK.E,"['Akbank TAS', '14.8', 'Low ESG Risk']"
AKCNS.E,"['Akcansa Cimento Sanayi ve Ticaret AS', '28.7', 'Medium ESG Risk']"
AKFYE.E,"['Akfen Yenilenebilir Enerji AS', '27.9', 'Medium ESG Risk']"
AKSGY.E,"['Akis Gayrimenkul Yatirim Ortakligi AS', '11.4', 'Low ESG Risk']"
AKSA.E,"['Aksa Akrilik Kimya Sanayii AS', '15.7', 'Low ESG Risk']"
AKSEN.E,"['Aksa Enerji Üretim AS', '34.3', 'High ESG Risk']"
AKGRT.E,"['Aksigorta AS', '23.9', 'Medium ESG Risk']"
ALARK.E,"['Alarko Holding AS', '31.2', 'High ESG Risk']"
ALBRK.E,"['Albaraka Türk Katilim Bankasi AS', '27.5', 'Medium ESG Risk']"
ANSGR.E,"['Anadolu Anonim Türk Sigorta Sirketi AS', '26.8', 'Medium ESG Risk']"
AEFES.E,"['Anadolu Efes Biracilik ve Malt Sanayii A.S.', '21.3', 'Medium ESG Risk']"
ASUZU.E,"['Anadolu Isuzu Otomotiv Sanayi ve Ticaret AS', '23.8', 'Medium ESG Risk']"
ARCLK.E,"['Arçelik AS', '13.6', 'Low ESG Risk']"
ASELS.E,"['Aselsan Elektronik Sanayi ve Ticaret AS', '23.4', 'Medium ESG Risk']"
AYDEM.E,"['Aydem Yenilenebilir Enerji AS', '17.9', 'Low ESG Risk']"
AYGAZ.E,"['Aygaz AS', '26.9', 'Medium ESG Risk']"
BAGFS.E,"['Bagfas Bandirma Gübre Fabrikalari AS', '50.5', 'Severe ESG Risk']"
BASGZ.E,"['Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi AS', '41.1', 'Severe ESG Risk']"
BERA.E,"['Bera Holding AS', '50.4', 'Severe ESG Risk']"
BIMAS.E,"['BIM Birlesik Magazalar AS', '29.8', 'Medium ESG Risk']"
BIOEN.E,"['Biotrend Çevre ve Enerji Yatirimlari AS', '16.0', 'Low ESG Risk']"
BIZIM.E,"['Bizim Toptan Satis Magazalari AS', '15.3', 'Low ESG Risk']"
BRSAN.E,"['Borusan Birlesik Boru Fabrikalari Sanayi ve Ticaret AS', '38.2', 'High ESG Risk']"
BRYAT.E,"['Borusan Yatirim ve Pazarlama AS', '14.6', 'Low ESG Risk']"
BFREN.E,"['Bosch Fren Sistemleri Sanayi ve Ticaret AS', '8.1', 'Negligible ESG Risk']"
BRISA.E,"['Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret AS', '16.7', 'Low ESG Risk']"
CANTE.E,"['Çan2 Termik AS', '50.6', 'Severe ESG Risk']"
CLEBI.E,"['Çelebi Hava Servisi AS', '23.8', 'Medium ESG Risk']"
CIMSA.E,"['Çimsa Çimento Sanayi ve Ticaret AS', '25.1', 'Medium ESG Risk']"
CCOLA.E,"['Coca-Cola Icecek AS', '17.8', 'Low ESG Risk']"
DOHOL.E,"['Dogan Sirketler Grubu Holding AS', '35.5', 'High ESG Risk']"
DOAS.E,"['Dogus Otomotiv Servis ve Ticaret AS', '10.7', 'Low ESG Risk']"
ECZYT.E,"['Eczacibasi Yatirim Holding Ortakligi AS', '36.5', 'High ESG Risk']"
EGEEN.E,"['Ege Endüstri ve Ticaret AS', '16.6', 'Low ESG Risk']"
ECILC.E,"['EIS Eczacibasi Ilaç, Sinai ve Finansal Yatirim San ve Tic AS', '32.4', 'High ESG Risk']"
EKGYO.E,"['Emlak Konut Gayrimenkul Yatirim Ortakligi AS', '20.2', 'Medium ESG Risk']"
ENJSA.E,"['Enerjisa Enerji AS', '16.8', 'Low ESG Risk']"
ENKAI.E,"['Enka Insaat ve Sanayi AS', '35.7', 'High ESG Risk']"
ERCB.E,"['Erciyas Çelik Boru Sanayi AS', '46.0', 'Severe ESG Risk']"
EREGL.E,"['Eregli Demir ve Çelik Fabrikalari TAS', '36.3', 'High ESG Risk']"
EUREN.E,"['Europen Endüstri Insaat Sanayi ve Ticaret AS', '30.5', 'High ESG Risk']"
EUPWR.E,"['Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret AS', '32.6', 'High ESG Risk']"
FROTO.E,"['Ford Otomotiv Sanayi AS', '23.4', 'Medium ESG Risk']"
GWIND.E,"['Galata Wind Enerji AS', '15.2', 'Low ESG Risk']"
